Entrada de datos (desde Arduino Uno (COM4));;;;;;;;;;
Los datos procedentes del origen de datos actual aparecerán abajo según se reciban.;;;;;;;;;;
Datos actuales;;;;;;;;;;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
14:52:55.92;ACELERACION=6.01;TIEMPO=0.42;VELOCIDAD=1.53;;;;;;;
Información histórica ;;;;;;;;;;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
14:52:55.92;ACELERACION=6.01;TIEMPO=0.42;VELOCIDAD=1.53;;;;;;;
14:52:12.10;ACELERACION=6.28;TIEMPO=0.41;VELOCIDAD=1.53;;;;;;;
14:50:57.49;ACELERACION=1.44;TIEMPO=0.85;VELOCIDAD=1.53;;;;;;;
14:50:31.16;ACELERACION=1.53;TIEMPO=0.83;VELOCIDAD=2.17;;;;;;;
14:49:04.90;ACELERACION=7.80;TIEMPO=0.37;VELOCIDAD=2.62;;;;;;;
14:49:01.50;ACELERACION=0.14;TIEMPO=2.73;VELOCIDAD=2.62;;;;;;;
14:48:21.31;ACELERACION=9.19;TIEMPO=0.34;VELOCIDAD=2.62;;;;;;;
14:47:36.61;ACELERACION=1.02;TIEMPO=1.01;VELOCIDAD=2.62;;;;;;;
14:47:21.33;ACELERACION=1.10;TIEMPO=0.98;VELOCIDAD=2.17;;;;;;;
14:46:21.28;ACELERACION=1.09;TIEMPO=0.98;VELOCIDAD=1.53;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
